precinctid,writein_bernard_bernie_sanders__tu,gary_johnson__bill_weld,writein_jerry_white__niles_niemuth,jill_stein__ajamu_baraka,writein_evan_mcmullin__nathan_johnso,hillary_clinton__tim_kaine,writein_laurence_kotlikoff__edward_l,writein,precincts,under_vote,ballots_cast,gloria_estela_la_riva__dennis_j_bank,over_vote,registration,writein_mike_maturen__juan_munoz,donald_j_trump__michael_r_pence
7028,2,6,0,9,0,479,0,3,1,8,544,4,8,900,0,25
7029,1,3,0,6,1,473,0,3,1,7,525,3,9,924,0,19
7030,1,6,0,7,0,408,0,3,1,10,558,7,6,787,0,110
7031,4,6,0,10,0,309,0,1,1,2,392,2,3,511,0,55
7032,4,3,0,11,0,482,0,3,1,7,589,8,8,938,0,63
7033,3,9,0,18,0,464,0,4,1,4,546,3,3,814,0,38
7034,5,3,0,8,0,463,0,3,1,7,515,5,1,954,0,20
7035,1,4,0,6,0,293,0,2,1,6,341,0,0,476,0,29
7036,0,3,0,12,0,490,0,3,1,6,596,2,4,967,0,76
7037,3,4,0,4,0,331,0,4,1,11,379,2,3,840,0,17
7038,3,6,0,10,0,482,0,1,1,6,595,5,5,960,0,77
7039,4,8,0,22,0,488,0,4,1,17,625,2,0,831,0,80
7041,0,1,0,2,0,33,0,0,1,0,42,0,1,62,0,5
7042,5,2,0,15,0,413,0,2,1,12,514,5,3,697,0,57
7043,4,8,0,15,1,545,0,5,1,7,640,3,4,990,0,48
7044,5,4,0,6,0,353,0,1,1,7,415,2,3,867,0,34
7045,5,11,0,16,0,397,0,2,1,8,531,6,1,803,0,85
7046,2,11,0,8,0,254,0,2,1,4,319,0,0,435,0,38
7047,4,8,0,6,1,488,0,2,1,7,602,7,4,858,0,75
7048,2,4,0,7,1,431,0,2,1,7,518,2,4,877,0,58
7049,1,7,0,14,0,392,0,1,1,4,534,5,5,829,0,105
7051,2,4,0,18,0,452,0,1,1,9,612,10,6,909,0,110
7052,3,6,0,14,2,513,0,4,1,13,675,6,3,894,0,111
7053,4,11,0,7,0,367,0,1,1,8,462,1,0,552,0,63
7054,10,7,0,16,0,583,0,2,1,12,683,6,2,1068,0,45
7101,0,1,0,2,0,119,0,0,1,1,126,1,0,150,0,2
7201,2,32,0,7,1,732,0,8,1,13,868,0,0,983,0,73
7202,4,28,0,9,0,601,0,5,1,6,752,1,0,885,0,98
7203,4,24,0,11,0,719,0,5,1,10,840,0,2,950,0,65
7204,0,21,0,16,4,723,0,4,1,10,833,4,0,933,0,51
7205,2,34,0,10,0,664,0,8,1,15,815,1,0,903,0,81
7206,1,14,0,7,2,297,0,2,1,3,340,1,0,390,0,13
7207,4,16,0,9,0,500,0,4,1,7,595,0,1,712,0,54
7208,1,11,0,15,0,449,0,5,1,3,539,1,0,635,0,54
7209,4,22,0,7,2,392,0,3,1,9,491,1,0,563,0,51
7301,6,26,0,16,3,641,0,2,1,11,813,3,1,1080,0,104
7302,2,27,0,14,0,577,0,4,1,13,732,3,4,862,0,88
7303,3,24,0,17,2,718,0,4,1,18,851,0,0,1032,0,65
7304,3,24,0,18,1,685,0,4,1,10,828,1,0,993,0,82
7305,6,23,0,16,1,621,0,11,1,10,772,1,0,906,0,83
7306,3,21,0,20,0,733,0,8,1,14,882,4,1,1076,0,78
7307,5,21,0,22,0,554,0,6,1,11,674,0,2,826,0,53
7308,2,15,0,22,2,450,0,3,1,9,548,3,0,641,0,42
7309,3,20,0,7,2,644,0,14,1,6,764,0,0,897,0,68
7311,4,27,0,13,1,752,0,4,1,7,853,0,0,986,0,45
7312,1,26,0,12,2,616,0,4,1,10,768,3,0,874,0,94
7313,0,31,0,15,1,655,0,7,1,11,798,4,1,1001,0,73
7314,6,7,0,10,2,415,0,4,1,10,511,3,8,833,0,46
7315,4,16,0,24,0,483,0,4,1,10,597,4,4,783,0,48
7316,2,21,0,25,0,532,0,4,1,10,661,4,2,893,1,60
7317,2,18,0,15,2,593,1,5,1,10,743,7,7,938,0,83
7318,0,19,0,9,0,581,0,3,1,8,689,0,1,788,0,68
7319,7,31,0,22,1,737,0,13,1,11,908,3,1,1123,0,82
7321,2,13,0,10,0,386,0,1,1,7,493,4,0,683,0,70
7322,0,5,0,10,0,419,0,4,1,16,526,6,2,937,0,64
7323,2,25,0,4,2,618,0,1,1,13,727,1,0,888,1,60
7324,0,17,0,4,1,520,0,0,1,7,601,1,0,756,0,51
7325,3,25,0,21,0,654,0,4,1,10,792,4,0,973,0,71
7326,5,16,0,19,0,626,0,3,1,7,749,2,0,922,0,71
7327,1,4,0,11,0,325,0,1,1,8,434,6,5,762,0,73
7328,0,5,0,9,0,503,0,3,1,14,617,9,1,1024,0,73
7329,1,14,0,18,0,319,0,8,1,10,454,5,1,607,0,78
7331,3,21,0,4,0,607,0,11,1,10,793,1,1,933,0,135
7332,1,21,0,32,1,596,0,2,1,7,718,9,1,889,0,48
7333,4,29,0,14,2,761,0,4,1,12,888,0,0,1101,0,62
7334,3,25,0,13,3,659,0,5,1,10,774,3,1,963,0,52
7335,2,35,0,11,2,740,0,12,1,7,894,0,0,1002,0,85
7336,3,23,0,18,0,705,0,9,1,13,883,1,1,1017,0,110
7337,4,30,0,18,0,603,0,9,1,7,755,2,2,944,0,80
7338,1,12,0,15,2,537,0,5,1,16,695,7,3,1005,0,97
7339,2,10,0,19,0,413,0,2,1,6,495,2,2,660,0,39
7341,5,24,0,27,1,641,0,2,1,5,765,4,0,974,0,56
7342,6,22,0,19,1,657,0,6,1,9,791,2,0,1034,0,69
7343,5,17,0,12,1,539,0,3,1,5,618,2,2,746,0,32
7344,7,30,0,23,0,754,0,7,1,12,916,3,2,1143,0,78
7345,6,18,0,35,0,767,0,9,1,4,891,0,0,1186,0,52
7346,7,9,0,33,0,651,0,4,1,5,762,3,1,991,0,49
7347,8,17,0,19,0,729,0,6,1,6,841,7,2,1085,0,47
7348,4,9,0,16,0,532,0,7,1,3,647,1,0,957,0,75
7349,5,13,0,15,0,644,0,3,1,5,771,1,3,1006,0,82
7501,1,19,0,10,1,447,0,6,1,6,522,0,0,574,1,31
