OBJECTID,precinct_id,num_blocks,total_population,hispanic_or_latino,NeighRep,SupDist,DISTRICT,CongDist,BARTDist,white,two_or_more_races,one_race_total,AssemDist,PREC_2010,native_hawaiian_and_other_pacif,PREC_2012,asian,total_population_not_hispanic_o,black_or_african_american,american_indian_and_alaska_nati,some_other_race
480,9258,14,1263.000000000000000,84.000000000000000,LRL HTS/ANZA,2,02,12,8,732.000000000000000,44.000000000000000,1219.000000000000000,19,2218,2.000000000000000,9258,407.000000000000000,1179.000000000000000,57.000000000000000,2.000000000000000,19.000000000000000
481,9401,17,1469.000000000000000,142.000000000000000,SUNSET,4,04,12,8,718.000000000000000,69.000000000000000,1400.000000000000000,19,2401,9.000000000000000,9401,589.000000000000000,1327.000000000000000,30.000000000000000,11.000000000000000,43.000000000000000
482,9402,11,1537.000000000000000,100.000000000000000,SUNSET,4,04,12,8,647.000000000000000,41.000000000000000,1496.000000000000000,19,2402,3.000000000000000,9402,785.000000000000000,1437.000000000000000,18.000000000000000,4.000000000000000,39.000000000000000
483,9403,16,1475.000000000000000,86.000000000000000,SUNSET,4,04,12,8,617.000000000000000,57.000000000000000,1418.000000000000000,19,2403,1.000000000000000,9403,759.000000000000000,1389.000000000000000,22.000000000000000,2.000000000000000,17.000000000000000
484,9404,18,1528.000000000000000,98.000000000000000,SUNSET,4,04,12,8,552.000000000000000,80.000000000000000,1448.000000000000000,19,2404,1.000000000000000,9404,835.000000000000000,1430.000000000000000,21.000000000000000,0.000000000000000,39.000000000000000
485,9405,12,1231.000000000000000,77.000000000000000,SUNSET,4,04,12,8,486.000000000000000,69.000000000000000,1162.000000000000000,19,2405,8.000000000000000,9405,630.000000000000000,1154.000000000000000,15.000000000000000,4.000000000000000,19.000000000000000
486,9406,12,1449.000000000000000,66.000000000000000,SUNSET,4,04,12,8,587.000000000000000,80.000000000000000,1369.000000000000000,19,2406,5.000000000000000,9406,727.000000000000000,1383.000000000000000,26.000000000000000,0.000000000000000,24.000000000000000
487,9407,11,1418.000000000000000,100.000000000000000,SUNSET,4,04,12,8,534.000000000000000,72.000000000000000,1346.000000000000000,19,2407,1.000000000000000,9407,750.000000000000000,1318.000000000000000,33.000000000000000,6.000000000000000,22.000000000000000
488,9408,9,1280.000000000000000,81.000000000000000,SUNSET,4,04,12,8,528.000000000000000,58.000000000000000,1222.000000000000000,19,2408,1.000000000000000,9408,636.000000000000000,1199.000000000000000,18.000000000000000,2.000000000000000,37.000000000000000
489,9409,8,903.000000000000000,67.000000000000000,INNER SUNSET,4,04,12,9,452.000000000000000,41.000000000000000,862.000000000000000,19,2505,0.000000000000000,9409,383.000000000000000,836.000000000000000,10.000000000000000,3.000000000000000,14.000000000000000
490,9411,6,1639.000000000000000,174.000000000000000,SUNSET,4,04,12,8,957.000000000000000,73.000000000000000,1566.000000000000000,19,2409,11.000000000000000,9411,481.000000000000000,1465.000000000000000,47.000000000000000,12.000000000000000,58.000000000000000
491,9412,8,1417.000000000000000,90.000000000000000,SUNSET,4,04,12,8,548.000000000000000,60.000000000000000,1357.000000000000000,19,2409,3.000000000000000,9412,741.000000000000000,1327.000000000000000,20.000000000000000,5.000000000000000,40.000000000000000
492,9413,9,1561.000000000000000,81.000000000000000,SUNSET,4,04,12,8,600.000000000000000,54.000000000000000,1507.000000000000000,19,2412,4.000000000000000,9413,861.000000000000000,1480.000000000000000,19.000000000000000,2.000000000000000,21.000000000000000
493,9414,11,1581.000000000000000,83.000000000000000,SUNSET,4,04,12,8,621.000000000000000,57.000000000000000,1524.000000000000000,19,2413,0.000000000000000,9414,848.000000000000000,1498.000000000000000,27.000000000000000,2.000000000000000,26.000000000000000
494,9415,7,1394.000000000000000,87.000000000000000,SUNSET,4,04,12,8,429.000000000000000,57.000000000000000,1337.000000000000000,19,2414,0.000000000000000,9415,858.000000000000000,1307.000000000000000,8.000000000000000,1.000000000000000,41.000000000000000
495,9416,9,1610.000000000000000,83.000000000000000,SUNSET,4,04,12,8,602.000000000000000,89.000000000000000,1521.000000000000000,19,2416,0.000000000000000,9416,847.000000000000000,1527.000000000000000,43.000000000000000,9.000000000000000,20.000000000000000
496,9417,9,1449.000000000000000,56.000000000000000,SUNSET,4,04,12,8,383.000000000000000,36.000000000000000,1413.000000000000000,19,2417,0.000000000000000,9417,1003.000000000000000,1393.000000000000000,14.000000000000000,1.000000000000000,12.000000000000000
497,9418,12,1367.000000000000000,70.000000000000000,SUNSET,4,04,12,8,458.000000000000000,45.000000000000000,1322.000000000000000,19,2418,1.000000000000000,9418,836.000000000000000,1297.000000000000000,12.000000000000000,0.000000000000000,15.000000000000000
498,9419,14,1441.000000000000000,55.000000000000000,SUNSET,4,04,12,8,571.000000000000000,31.000000000000000,1410.000000000000000,19,2419,2.000000000000000,9419,810.000000000000000,1386.000000000000000,2.000000000000000,3.000000000000000,22.000000000000000
499,9421,10,1564.000000000000000,58.000000000000000,SUNSET,4,04,12,8,469.000000000000000,52.000000000000000,1512.000000000000000,19,2422,1.000000000000000,9421,1022.000000000000000,1506.000000000000000,13.000000000000000,1.000000000000000,6.000000000000000
500,9422,11,1792.000000000000000,89.000000000000000,SUNSET,4,04,12,8,716.000000000000000,80.000000000000000,1712.000000000000000,19,2423,3.000000000000000,9422,941.000000000000000,1703.000000000000000,23.000000000000000,4.000000000000000,25.000000000000000
501,9423,9,1470.000000000000000,92.000000000000000,SUNSET,4,04,12,8,562.000000000000000,73.000000000000000,1397.000000000000000,19,2415,1.000000000000000,9423,743.000000000000000,1378.000000000000000,75.000000000000000,2.000000000000000,14.000000000000000
502,9424,10,1675.000000000000000,82.000000000000000,SUNSET,4,04,12,8,404.000000000000000,55.000000000000000,1620.000000000000000,19,2416,6.000000000000000,9424,1178.000000000000000,1593.000000000000000,4.000000000000000,0.000000000000000,28.000000000000000
503,9425,14,1578.000000000000000,88.000000000000000,SUNSET,4,04,12,8,392.000000000000000,45.000000000000000,1533.000000000000000,19,2429,2.000000000000000,9425,1094.000000000000000,1490.000000000000000,23.000000000000000,5.000000000000000,17.000000000000000
504,9426,13,1527.000000000000000,82.000000000000000,SUNSET,4,04,12,8,409.000000000000000,35.000000000000000,1492.000000000000000,19,2425,0.000000000000000,9426,1036.000000000000000,1445.000000000000000,15.000000000000000,2.000000000000000,30.000000000000000
