precinctid,phil_ting,under_vote,precincts,carlos_chuck_taylor,ballots_cast,over_vote,registration
9417,401,99,1,102,604,2,759
9418,438,107,1,97,642,0,814
9419,456,107,1,145,708,0,902
9421,511,128,1,93,732,0,929
9422,590,136,1,160,887,1,1082
9423,502,119,1,97,718,0,909
9424,554,105,1,96,756,1,951
9425,540,110,1,98,748,0,964
9426,448,111,1,104,663,0,835
9427,507,110,1,116,733,0,963
9428,504,112,1,137,754,1,963
9429,475,110,1,122,707,0,909
9431,553,127,1,141,821,0,1024
9432,508,111,1,99,718,0,913
9433,511,118,1,129,759,1,973
9434,556,118,1,129,803,0,997
9435,505,120,1,140,765,0,969
9436,503,150,1,130,783,0,994
9437,482,118,1,113,713,0,954
9438,542,116,1,133,791,0,1000
9439,479,111,1,100,690,0,903
9441,588,107,1,105,800,0,1004
9442,529,137,1,142,809,1,1027
9443,510,120,1,117,748,1,937
9444,461,125,1,133,720,1,955
9445,517,103,1,131,751,0,993
9446,626,150,1,136,912,0,1084
9447,549,109,1,103,761,0,954
9448,510,108,1,110,728,0,950
9449,432,113,1,94,639,0,820
9451,233,66,1,71,370,0,438
9452,461,125,1,115,701,0,829
9453,287,66,1,62,415,0,502
9501,78,26,1,27,131,0,153
9502,162,32,1,15,209,0,233
9503,468,119,1,87,674,0,822
9505,432,118,1,66,617,1,804
9506,440,97,1,65,602,0,810
9507,498,91,1,49,638,0,783
9508,557,126,1,37,720,0,862
9509,492,117,1,52,661,0,758
9511,358,101,1,70,529,0,630
9512,525,118,1,65,709,1,848
9513,597,111,1,58,766,0,952
9514,643,123,1,65,832,1,959
9515,476,109,1,61,646,0,748
9516,517,131,1,115,763,0,922
9517,544,104,1,65,713,0,854
9518,538,103,1,66,707,0,826
9519,590,118,1,82,790,0,922
9521,620,131,1,76,827,0,947
9701,417,101,1,53,571,0,664
9702,486,97,1,57,640,0,760
9703,578,106,1,133,818,1,989
9704,620,134,1,82,836,0,971
9705,636,122,1,78,836,0,954
9706,38,9,1,7,54,0,54
9707,470,91,1,118,679,0,805
9708,596,138,1,95,829,0,956
9709,592,135,1,120,848,1,1029
9711,410,73,1,89,572,0,643
9712,422,83,1,88,593,0,656
9713,527,123,1,132,782,0,974
9714,560,100,1,165,825,0,941
9715,351,82,1,88,521,0,580
9716,545,119,1,127,791,0,975
9717,569,132,1,136,837,0,993
9718,514,85,1,156,755,0,859
9719,523,91,1,141,755,0,880
9721,401,79,1,95,575,0,657
9722,359,73,1,110,543,1,634
9723,238,57,1,101,396,0,478
9724,512,113,1,199,824,0,978
9725,484,119,1,178,783,2,985
9726,418,93,1,95,606,0,782
9727,248,52,1,95,396,1,454
9728,486,102,1,217,805,0,937
9729,437,100,1,171,708,0,802
9731,302,64,1,119,485,0,548
9732,57,3,1,11,71,0,76
9733,158,22,1,24,204,0,221
9734,362,62,1,111,535,0,603
9735,485,83,1,131,699,0,807
9736,467,77,1,107,651,0,729
9737,544,79,1,92,715,0,782
9738,429,110,1,141,680,0,850
9739,460,122,1,99,681,0,912
9741,448,157,1,74,679,0,1064
9742,348,85,1,97,530,0,669
9743,632,143,1,132,907,0,1159
9744,505,133,1,125,763,0,968
9745,522,107,1,132,762,1,1052
9746,519,106,1,158,783,0,903
9747,542,122,1,133,797,0,989
9748,567,115,1,127,809,0,981
9749,504,100,1,82,686,0,969
9751,602,138,1,168,908,0,1011
9752,437,75,1,114,626,0,721
9753,475,77,1,84,636,0,777
9754,495,78,1,75,648,0,744
9755,362,77,1,53,492,0,605
9756,527,129,1,128,784,0,980
9801,244,50,1,45,339,0,434
