precinctid,matt_haney,writein,mark_sanchez,stevon_cook,under_vote,jill_wynns,precincts,ballots_cast,trevor_mcneil,over_vote,ian_kalin,registration,rachel_norton,rob_geller,phil_kim
7039,236,18,278,230,995,136,1,625,131,4,82,831,192,56,142
7041,18,0,11,12,85,5,1,42,7,0,3,62,13,2,12
7042,210,1,219,192,824,114,1,514,153,8,50,697,142,25,118
7043,238,0,283,240,1096,116,1,640,149,12,69,990,204,38,115
7044,128,0,158,158,837,48,1,415,85,8,42,867,99,12,85
7045,187,0,233,170,925,130,1,531,109,12,59,803,149,43,107
7046,115,1,150,107,537,77,1,319,73,4,32,435,102,16,62
7047,223,3,251,198,986,153,1,602,132,12,72,858,201,40,137
7048,186,2,226,175,836,130,1,518,120,20,59,877,155,33,130
7049,168,1,211,121,910,141,1,534,132,12,87,829,155,45,153
7051,201,1,242,173,1018,164,1,612,152,16,91,909,185,40,165
7052,234,1,269,236,1143,174,1,675,173,0,101,894,179,42,148
7053,146,0,150,125,808,119,1,462,111,12,80,552,138,33,126
7054,247,2,303,300,1229,116,1,683,152,8,47,1068,181,38,109
7101,65,0,44,48,221,28,1,126,21,4,13,150,36,5,19
7201,342,1,226,273,1661,216,1,868,199,0,116,983,276,56,106
7202,284,0,212,235,1399,191,1,752,174,4,104,885,257,48,100
7203,310,1,228,249,1744,183,1,840,180,4,88,950,238,37,98
7204,343,3,225,270,1529,239,1,833,189,0,102,933,276,57,99
7205,339,4,233,280,1448,230,1,815,186,0,113,903,286,47,94
7206,136,0,118,115,599,97,1,340,62,4,48,390,105,21,55
7207,220,0,177,160,1195,125,1,595,116,8,87,712,171,29,92
7208,206,4,178,164,964,129,1,539,122,0,70,635,180,46,93
7209,214,0,127,179,866,145,1,491,94,16,48,563,189,24,62
7301,254,2,281,252,1588,201,1,813,191,8,92,1080,217,49,117
7302,280,0,244,228,1331,215,1,732,163,16,94,862,219,45,93
7303,332,6,288,282,1647,195,1,851,164,4,85,1032,250,44,107
7304,324,10,273,280,1569,202,1,828,156,0,97,993,248,44,109
7305,305,8,253,250,1522,182,1,772,163,0,83,906,218,37,67
7306,317,2,284,257,1795,187,1,882,169,4,96,1076,247,59,111
7307,256,3,219,223,1270,162,1,674,141,8,77,826,203,39,95
7308,246,0,203,208,983,135,1,548,105,0,47,641,170,32,63
7309,302,1,226,242,1512,176,1,764,157,4,81,897,222,53,80
7311,353,2,272,268,1706,188,1,853,145,0,101,986,245,40,92
7312,313,0,228,231,1465,227,1,768,150,0,70,874,259,36,93
7313,308,3,266,253,1525,201,1,798,164,4,78,1001,221,48,121
7314,160,4,177,142,1096,127,1,511,78,4,30,833,115,25,86
7315,230,2,198,197,1162,138,1,597,112,4,54,783,174,34,83
7316,234,1,223,200,1322,149,1,661,132,12,68,893,146,44,113
7317,287,0,257,245,1319,194,1,743,168,16,100,938,225,50,111
7318,242,0,223,188,1388,173,1,689,124,8,71,788,195,37,107
7319,320,8,263,258,1929,204,1,908,161,4,104,1123,236,39,106
7321,167,5,164,134,923,137,1,493,100,4,48,683,158,32,100
7322,166,4,174,78,1088,197,1,526,98,0,27,937,168,17,87
7323,280,0,235,215,1450,165,1,727,133,0,78,888,201,44,107
7324,222,2,184,179,1225,152,1,601,108,0,49,756,166,18,99
7325,288,4,245,243,1650,164,1,792,137,0,81,973,218,32,106
7326,279,1,247,231,1453,199,1,749,146,12,73,922,215,43,97
7327,133,2,153,94,868,156,1,434,80,0,27,762,135,16,72
7328,221,4,205,153,1199,208,1,617,109,0,49,1024,187,38,95
