precinctid,under_vote,precincts,kamala_d_harris,ballots_cast,over_vote,registration,loretta_l_sanchez
7046,40,1,188,319,0,435,91
7047,65,1,346,602,2,858,189
7048,57,1,318,518,0,877,143
7049,79,1,297,534,2,829,156
7051,101,1,324,612,1,909,186
7052,98,1,393,675,2,894,182
7053,61,1,285,462,0,552,116
7054,56,1,483,683,2,1068,142
7101,11,1,100,126,0,150,15
7201,125,1,580,868,2,983,161
7202,97,1,513,752,3,885,139
7203,112,1,541,840,0,950,187
7204,94,1,587,833,0,933,152
7205,99,1,580,815,1,903,135
7206,31,1,249,340,0,390,60
7207,97,1,413,595,0,712,85
7208,88,1,359,539,1,635,91
7209,57,1,357,491,0,563,77
7301,133,1,476,813,1,1080,203
7302,101,1,461,732,0,862,170
7303,112,1,561,851,0,1032,178
7304,101,1,567,828,0,993,160
7305,83,1,533,772,1,906,155
7306,119,1,597,882,3,1076,163
7307,86,1,468,674,1,826,119
7308,52,1,402,548,0,641,94
7309,103,1,497,764,0,897,164
7311,123,1,579,853,0,986,151
7312,91,1,527,768,0,874,150
7313,108,1,515,798,2,1001,173
7314,106,1,258,511,0,833,147
7315,92,1,373,597,0,783,132
7316,100,1,413,661,1,893,147
7317,88,1,486,743,0,938,169
7318,113,1,429,689,1,788,146
7319,127,1,602,908,0,1123,179
7321,74,1,295,493,0,683,124
7322,118,1,244,526,0,937,164
7323,105,1,463,727,1,888,158
7324,101,1,355,601,0,756,145
7325,131,1,499,792,0,973,162
7326,108,1,478,749,2,922,161
7327,82,1,206,434,0,762,146
7328,126,1,289,617,0,1024,202
7329,64,1,284,454,1,607,105
7331,114,1,507,793,1,933,171
7332,88,1,473,718,2,889,155
7333,121,1,578,888,2,1101,187
7334,110,1,494,774,0,963,170
7335,112,1,590,894,0,1002,192
7336,100,1,609,883,2,1017,172
7337,102,1,510,755,1,944,142
7338,123,1,368,695,1,1005,203
7339,65,1,301,495,2,660,127
7341,104,1,525,765,0,974,136
7342,82,1,538,791,2,1034,169
7343,79,1,425,618,0,746,114
7344,109,1,622,916,1,1143,184
7345,99,1,603,891,0,1186,189
7346,80,1,502,762,0,991,180
7347,81,1,568,841,0,1085,192
7348,86,1,409,647,0,957,152
7349,105,1,470,771,1,1006,195
7501,57,1,374,522,1,574,90
7502,81,1,475,694,0,808,138
7503,82,1,472,688,2,808,132
7504,65,1,252,420,6,503,97
7505,71,1,545,762,1,915,145
7506,92,1,551,798,0,1018,155
7507,51,1,449,631,4,992,127
7508,55,1,423,606,0,735,128
7509,72,1,590,825,1,1006,162
7512,77,1,323,493,1,638,92
7513,73,1,415,601,3,836,110
7514,51,1,396,544,1,886,96
7515,87,1,506,710,1,898,116
7516,79,1,528,759,0,907,152
7517,61,1,631,826,0,956,134
7518,65,1,669,858,1,993,123
7519,68,1,524,676,1,802,83
7521,64,1,577,726,0,854,85
7522,51,1,600,742,0,848,91
7523,51,1,552,689,1,821,85
7524,39,1,413,532,0,728,80
7525,50,1,502,636,0,870,84
7526,70,1,659,858,2,999,127
7527,71,1,421,624,1,773,131
7529,83,1,662,860,0,992,115
7531,71,1,627,805,1,954,106
7532,70,1,531,741,1,886,139
7533,74,1,694,910,3,1025,139
7534,72,1,592,775,0,967,111
7535,43,1,546,711,0,807,122
7536,66,1,612,775,1,895,96
7537,50,1,529,664,0,783,85
7538,68,1,576,736,0,831,92
7539,63,1,671,821,0,978,87
7541,62,1,567,728,1,865,98
7542,55,1,608,756,0,906,93
7543,64,1,642,806,0,993,100
7544,71,1,630,821,1,962,119
7545,92,1,618,833,0,970,123
7546,59,1,638,817,3,935,117
7547,101,1,609,837,1,1057,126
7548,85,1,709,894,0,1135,100
7549,87,1,555,734,0,854,92
7551,69,1,521,669,0,762,79
7552,57,1,547,678,0,756,74
7553,24,1,130,168,0,187,14
7554,59,1,606,769,1,859,103
7555,45,1,693,846,1,893,107
7556,74,1,723,906,0,1008,109
7601,70,1,376,588,2,929,140
7602,68,1,451,689,8,962,162
7603,58,1,475,690,2,888,155
7604,77,1,444,677,0,989,156
7605,53,1,265,428,2,771,108
7606,76,1,391,640,3,992,170
7607,68,1,462,710,1,1055,179
7608,28,1,131,244,0,456,85
7609,79,1,334,551,4,1051,134
7611,75,1,293,479,2,898,109
7612,62,1,259,418,1,668,96
7613,57,1,395,617,7,1015,158
7614,71,1,546,793,2,1177,174
7615,75,1,294,528,2,1020,157
7616,96,1,545,807,3,981,163
7617,71,1,315,516,5,898,125
7618,68,1,495,689,1,948,125
7619,160,1,969,1485,2,1971,354
7621,108,1,544,800,0,1082,148
7622,92,1,311,534,7,1007,124
7623,55,1,299,467,1,839,112
7624,61,1,362,565,8,1074,134
7625,108,1,311,617,2,896,196
7626,111,1,697,1011,0,1177,203
7627,164,1,881,1326,2,1586,279
7628,64,1,519,720,3,1006,134
7629,63,1,404,577,0,837,110
7631,106,1,616,915,0,1143,193
7632,42,1,403,532,1,727,86
7633,78,1,352,574,1,731,143
7634,87,1,457,706,2,1017,160
7635,81,1,425,643,2,868,135
7636,98,1,541,784,2,993,143
7637,175,1,740,1151,2,1361,234
7638,155,1,796,1135,1,1285,183
7639,121,1,609,891,1,1011,160
7641,68,1,576,795,1,977,150
7642,93,1,593,810,0,967,124
7643,105,1,502,758,2,959,149
7644,126,1,622,925,2,1111,175
7645,84,1,387,587,1,669,115
7646,232,1,1297,1893,1,2163,363
7647,57,1,387,598,0,1028,154
7648,0,1,2,3,0,4,1
7701,91,1,650,914,1,1049,172
7702,71,1,458,663,0,775,134
7703,13,1,63,100,1,178,23
7704,87,1,623,881,0,1006,171
7705,46,1,340,495,0,554,109
7706,61,1,572,773,1,853,139
7707,63,1,578,784,1,854,142
7708,66,1,590,783,0,894,127
7709,38,1,252,354,0,390,64
7711,67,1,503,685,1,789,114
7712,52,1,381,518,1,577,84
7801,65,1,787,964,1,975,111
7802,66,1,590,723,0,760,67
7803,48,1,628,774,1,827,97
7804,68,1,697,876,1,932,110
7805,45,1,605,761,1,852,110
7806,41,1,558,663,0,746,64
7807,35,1,554,671,0,774,82
7808,52,1,454,578,0,702,72
7809,107,1,813,1091,0,1234,171
7811,62,1,532,696,1,806,101
7812,63,1,576,752,3,892,110
7813,74,1,740,943,0,1061,129
7814,65,1,431,667,1,919,170
7815,69,1,710,879,0,967,100
7816,41,1,703,823,1,896,78
7817,38,1,584,711,0,804,89
7818,49,1,614,787,0,889,124
7819,57,1,512,682,1,809,112
7821,52,1,744,916,0,998,120
7822,55,1,615,776,2,951,104
7823,45,1,661,806,0,928,100
7824,44,1,529,665,1,794,91
7825,39,1,422,521,0,578,60
7826,48,1,519,633,1,709,65
7827,79,1,559,758,0,931,120
7828,82,1,702,924,2,1053,138
7829,42,1,677,841,0,904,122
7831,41,1,686,803,1,906,75
7832,51,1,610,759,0,824,98
7833,55,1,586,710,0,785,69
7834,63,1,614,775,0,901,98
