precinctid,amy_bacharach,writein,under_vote,tom_temprano,precincts,shanell_williams,ballots_cast,alex_randolph,over_vote,registration,rafael_mandelman
9703,278,9,1659,306,1,352,818,317,0,989,351
9704,253,2,1804,260,1,355,836,318,0,971,352
9705,279,0,1736,261,1,360,836,333,0,954,375
9706,15,0,113,20,1,25,54,19,0,54,24
9707,229,0,1482,199,1,276,679,260,0,805,270
9708,266,20,1813,242,1,358,829,278,0,956,339
9709,312,1,1820,244,1,345,848,342,8,1029,320
9711,206,1,1126,202,1,255,572,239,0,643,259
9712,213,0,1260,188,1,226,593,233,0,656,252
9713,278,4,1735,243,1,286,782,310,0,974,272
9714,287,4,1761,255,1,333,825,334,0,941,326
9715,201,0,1131,134,1,183,521,214,0,580,221
9716,276,2,1705,253,1,320,791,300,0,975,308
9717,274,2,1827,262,1,320,837,329,4,993,330
9718,283,0,1582,244,1,302,755,295,4,859,310
9719,307,1,1498,242,1,308,755,330,0,880,334
9721,226,4,1211,172,1,212,575,249,0,657,226
9722,210,5,1107,160,1,221,543,249,0,634,220
9723,139,1,936,85,1,140,396,156,0,478,127
9724,282,5,1881,224,1,285,824,319,8,978,292
9725,265,2,1782,226,1,282,783,307,0,985,268
9726,213,5,1336,181,1,273,606,215,0,782,201
9727,173,0,789,118,1,166,396,192,0,454,146
9728,306,1,1694,243,1,332,805,341,0,937,303
9729,279,0,1449,215,1,269,708,309,0,802,311
