precinctid,jane_kim,under_vote,precincts,ballots_cast,over_vote,registration,scott_wiener
7832,284,35,1,759,0,824,440
7833,347,37,1,710,1,785,325
7834,401,45,1,775,0,901,329
7835,364,51,1,785,0,863,370
7836,393,57,1,903,0,990,453
7837,288,52,1,840,0,934,500
7838,287,42,1,839,0,933,510
7839,267,48,1,785,1,869,469
7841,322,64,1,839,0,947,453
7842,386,51,1,864,0,960,427
7843,352,40,1,679,0,802,287
7844,317,40,1,594,0,682,237
7845,280,38,1,783,1,869,464
7846,261,48,1,814,0,925,505
7847,306,53,1,843,0,960,484
7848,279,53,1,818,1,905,485
7849,373,45,1,864,0,967,446
7851,131,38,1,472,0,528,303
7852,210,30,1,584,0,644,344
7853,274,34,1,770,0,896,462
7854,313,57,1,825,0,933,455
7855,343,52,1,870,0,968,475
7856,337,45,1,769,1,849,386
7857,414,48,1,854,1,963,391
7858,380,47,1,674,0,791,247
7859,281,60,1,834,1,915,492
7861,303,50,1,776,0,881,423
7862,307,48,1,815,0,923,460
7863,377,50,1,819,2,939,390
7864,328,38,1,703,0,815,337
7865,338,72,1,754,1,853,343
7866,240,57,1,746,1,831,448
7867,277,42,1,822,2,946,501
7868,240,52,1,764,0,901,472
7869,310,38,1,789,0,874,441
7871,295,47,1,804,0,909,462
7872,296,45,1,819,0,902,478
7873,306,44,1,788,0,874,438
7874,167,36,1,408,0,482,205
7875,249,57,1,525,2,628,217
7901,510,79,1,952,5,1286,358
7902,454,68,1,842,1,1064,319
7903,383,56,1,652,3,929,210
7904,370,57,1,694,0,926,267
7905,367,49,1,718,0,851,302
7906,360,43,1,653,1,854,249
7907,469,75,1,834,0,991,290
7908,480,79,1,872,1,1008,312
7909,354,52,1,644,0,787,238
7911,415,51,1,734,1,907,267
7912,478,74,1,874,3,1090,319
7913,435,66,1,800,0,964,299
7914,424,58,1,752,2,895,268
7915,415,44,1,716,1,892,256
7916,462,48,1,768,3,953,255
7917,506,61,1,868,5,1073,296
7918,385,48,1,697,1,860,263
7919,456,57,1,767,3,928,251
7921,381,58,1,694,2,970,253
7922,412,49,1,705,0,884,244
7923,419,49,1,689,1,930,220
7924,429,52,1,696,1,883,214
